NumberOfTasks, ConflictRatio, MLA, Cycle Time
4, 0, 1, 84
4, 0.33, 1, 84
4, 0.67, 1, 84
4, 1, 1, 84
NumberOfTasks, ConflictRatio, MLA, Cycle Time
20, 0, 1, 320
20, 0.33, 1, 320
20, 0.67, 1, 320
20, 1, 1, 320
NumberOfTasks, ConflictRatio, MLA, Cycle Time
50, 0, 1, 709
50, 0.33, 1, 709
50, 0.67, 1, 709
50, 1, 1, 709
NumberOfTasks, ConflictRatio, MLA, Cycle Time
100, 0, 1, 1582
100, 0.33, 1, 1582
100, 0.67, 1, 1582
100, 1, 1, 1582
NumberOfTasks, ConflictRatio, MLA, Cycle Time
500, 0, 1, 7489
500, 0.33, 1, 7489
500, 0.67, 1, 7489
500, 1, 1, 7489
NumberOfTasks, ConflictRatio, MLA, Cycle Time
4, 0, 2, 34
4, 0.33, 2, 49
4, 0.67, 2, 49
4, 1, 2, 59
NumberOfTasks, ConflictRatio, MLA, Cycle Time
20, 0, 2, 161
20, 0.33, 2, 167
20, 0.67, 2, 170
20, 1, 2, 305
NumberOfTasks, ConflictRatio, MLA, Cycle Time
50, 0, 2, 372
50, 0.33, 2, 377
50, 0.67, 2, 400
50, 1, 2, 729
NumberOfTasks, ConflictRatio, MLA, Cycle Time
100, 0, 2, 666
100, 0.33, 2, 676
100, 0.67, 2, 712
100, 1, 2, 1320
NumberOfTasks, ConflictRatio, MLA, Cycle Time
500, 0, 2, 3636
500, 0.33, 2, 3694
500, 0.67, 2, 3712
500, 1, 2, 7257
NumberOfTasks, ConflictRatio, MLA, Cycle Time
4, 0, 10, 23
4, 0.33, 10, 23
4, 0.67, 10, 45
4, 1, 10, 74
NumberOfTasks, ConflictRatio, MLA, Cycle Time
20, 0, 10, 44
20, 0.33, 10, 113
20, 0.67, 10, 157
20, 1, 10, 324
NumberOfTasks, ConflictRatio, MLA, Cycle Time
50, 0, 10, 82
50, 0.33, 10, 145
50, 0.67, 10, 273
50, 1, 10, 705
NumberOfTasks, ConflictRatio, MLA, Cycle Time
100, 0, 10, 161
100, 0.33, 10, 311
100, 0.67, 10, 532
100, 1, 10, 1474
NumberOfTasks, ConflictRatio, MLA, Cycle Time
500, 0, 10, 807
500, 0.33, 10, 1456
500, 0.67, 10, 2758
500, 1, 10, 7965
NumberOfTasks, ConflictRatio, MLA, Cycle Time
4, 0, 999, 29
4, 0.33, 999, 40
4, 0.67, 999, 56
4, 1, 999, 75
NumberOfTasks, ConflictRatio, MLA, Cycle Time
20, 0, 999, 24
20, 0.33, 999, 78
20, 0.67, 999, 132
20, 1, 999, 250
NumberOfTasks, ConflictRatio, MLA, Cycle Time
50, 0, 999, 29
50, 0.33, 999, 176
50, 0.67, 999, 293
50, 1, 999, 787
NumberOfTasks, ConflictRatio, MLA, Cycle Time
100, 0, 999, 29
100, 0.33, 999, 320
100, 0.67, 999, 565
100, 1, 999, 1593
NumberOfTasks, ConflictRatio, MLA, Cycle Time
500, 0, 999, 29
500, 0.33, 999, 1211
500, 0.67, 999, 2593
500, 1, 999, 7608
